model,dataset,mse,mae,r2
catboost,val,29542288.216339152,3060.166104813181,0.7720460200164744
dt,val,49698223.67241486,3497.330477289157,0.616518943919426
lr,val,38744646.02823236,4286.25885987575,0.7010388565533088
mlp,val,33263920.358024694,3606.0656838769387,0.7433291903477888
xgboost,val,27669406.9401053,2866.6795790811684,0.7864975322970298
catboost,full,12437084.023459638,1586.3096946979565,0.9135878861095834
dt,full,19958083.27691126,1410.1059439228297,0.8613324343627667
lr,full,36229609.559530966,4212.673056141411,0.7482788456234413
mlp,full,28830157.317845803,3431.454936660168,0.7996897960221935
xgboost,full,12528386.9479105,1626.3871945301826,0.9129535188663217
